url,title,subtitle,price,common_expenses,squared_meters,dorms,bathrooms,location,coordinates,description,verified_seller,image_url,Superficie total,Superficie útil,Superficie de terraza,Dormitorios,Baños,Estacionamientos,Bodegas,Cantidad de pisos,Número de piso de la unidad,Tipo de departamento,Orientación,Antigüedad,Gastos comunes,Con condominio cerrado,Tipo de seguridad,Con conexión para lavarropas,Conserjería,Jacuzzi,Closets,Comedor de diario,Baño de visitas,Terraza,Comedor,Walk-in clóset,Homeoffice,Living,Patio,Dormitorio en suite,Balcón,Jardín,Cocina,Dormitorio y baño de servicio,Playroom,Parrilla,Piscina,Chimenea,Con área verde,Cancha de básquetbol,Cancha de paddle,Canchas de usos múltiples,Sauna,Refrigerador,Con cancha de fútbol,Cowork,Acceso a internet,Gimnasio,Salón de usos múltiples,Ascensor,Estacionamiento de visitas,Cancha de tenis,Lavandería,Salón de fiestas,Área de juegos infantiles,Área de cine,Azotea,Agua corriente,Línea telefónica,Gas natural,Caldera,Aire acondicionado,Calefacción,Cisterna,Generador eléctrico,Con energia solar,Admite mascotas,Amoblado,Uso comercial,Recepción,Ambientes,Departamentos por piso,Con logia,Rampa para silla de ruedas,Número de torre,currency
https://www.portalinmobiliario.com/MLC-2719611378,Excelente Depto En Santiago Sur,Departamento en Venta,2700,Gastos comunes aproximados $ 61.000,50 m² totales,3 dormitorios,1 baño,"Nataniel Cox 1800 - 2100, Franklin - Biobío, Santiago, RM (Metropolitana)","-33.4726786,-70.6494925","DIRECCIONNataniel Cox 2020Comuna de Santiago (sur)Metro Estacion Franklin (linea 2), Estacion Bio Bio (Línea 6)PROGRAMAEstar comedor terrazaTres dormitoriosUn bañoBodegaEstacionamiento subterráneoDESCRIPCIÓNEs una acogedor departamento ubicado en un primer piso, al interior de un edificio de cinco pisos de aproximadamente 15 años, un subterráneo de estacionamientos y bodegas, acceso controlado con conserjería 24/7, en el corazón comercial del barrio Huemul, cercano equipamiento comunal y regional, con zona de bancos, comercio minorista y mayorista, escuelas y colegios, cercano a la zona del Matadero y todos sus mall de servicios y mercados, excelente locomoción colectiva a cualquier parte de Santiago a través del sistema Red, de la red de metro y sistemas de taxis colectivos.MEDIDASSuperficie total       50,00 m2. aprox.Superficie interior   48,00 m2. aprox.VALORESPrecio                U.F.   2.700.-+2% Valor de arriendoGasto común     $   61.000.-Contribuciones  Exento (solo paga el estacionamiento y la bodega)",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_875379-MLC79425617020_092024-F.webp,50 m²,48 m²,2 m²,3,1,1,1.0,5.0,1.0,Departamento,N,15 años,61.000 CLP,Sí,24 horas,Sí,Sí,No,Sí,No,No,Sí,No,No,No,Sí,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,Sí,No,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,Sí,Sí,No,Sí,,,,,,
https://www.portalinmobiliario.com/MLC-1532065067,Departamento Nuevo,Departamento en Venta,3762,Gastos comunes aproximados $ 120.000,4 m² totales,2 dormitorios,2 baños,"Zañartu, 980, Estadio Nacional, Ñuñoa, RM (Metropolitana)","-33.4732092,-70.622086","¡Descubre tu nuevo hogar en Ñuñoa! Este moderno departamento ubicado en Zañartu al llegar a Vicuña Mackenna representa el perfecto equilibrio entre comodidad y estilo. Con e 32 metros cuadrados útiles más 4 mts2 de terraza, este espacio recién construido en junio de 2022 se caracteriza por su ambiente contemporáneo y acabados de calidad.

Este edificio de 20 pisos no solo ofrece vistas increíbles, sino también una gama de comodidades exclusivas, incluyendo una reluciente piscina para relajarte durante los cálidos días de verano, quinchos, salón de eventos, sala de lavandería, gimnasio y un espectacular sky bar para ocasiones espaciales.
La conectividad es clave, y con una parada de autobús cercana, así como también a las estaciones Ñuble y Rodrigo de Araya de la red del metro de Santiago, además de contar en su entorno de colegios, restaurantes, centros médicos y otros tipos de servicios.
Cuenta con living-comedor, 
2 dormitorios
2 baño,
Cocina integrada,
Conexión a lavadora.
Ventanas de termopanel.
Piso porcelanato en dormitorios y demás áreas.
Horno eléctrico y cocina vitrocerámica
Seguridad 24 hrs
Conserjería.

El departamento es totalmente nuevo y listo para ti, permitiéndote personalizar cada rincón a tu gusto. Es la elección ideal tanto para profesionales jóvenes como para parejas que valoran la modernidad y la conveniencia.

No dejes pasar la oportunidad de vivir en uno de los barrios más emergentes de Santiago. ¡Contáctanos y agenda tu visita hoy mismo!",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_840204-MLC79706452051_102024-F.webp,4 m²,60 m²,0 m²,2,2,0,0.0,20.0,0.0,Departamento,N,2 años,120.000 CLP,,,,,,,,No,Sí,,,,,,,No,Sí,,,,No,No,,,,,,,,,,Sí,Sí,,Sí,,,,,,,,,,,,,No,,,,,,No,,0.0,1101.0,,,,
https://www.portalinmobiliario.com/MLC-2720332534,"Vendo Promesa De Compraventa Depto. Mariposa, Recoleta",Departamento en Venta,330,,50 m² totales,2 dormitorios,2 baños,"Av. Dorsal 600 - 900, Dorsal, Recoleta, RM (Metropolitana)","-33.396412,-70.6470599","Vendo Promesa de Compraventa, departamento ubicado en EDIFICIO NUEVO AMANECER, Inmobiliaria NUMAI. ENTREGA DICIEMBRE 2024, cercano a centros de salud, clínicas, colegios, comercio, a 2 cuadra de Av. Recoleta, a pasos de metro Dorsal.Valor venta depto. UF3330, con estacionamiento y bodega. Precio menor que la inmobiliaria2 dormitorios en suite, uno de ellos con terrazaEstar con salida a terrazaCocina americanaEstacionamiento y BodegaOrientación: ORIENTEEQUIPAMIENTO EDIFICIO:Sala de estudio o trabajo con internetCocina comunitaria para eventosPiscinaJuegos infantilesAres verdesAzotea con una pista atlética con máquinas para hacer ejercicios4 quinchos equipados con asaderas bajo pérgola, con una vista totalmente despejada hacia la Cordillera y Cerro San Cristóbal..",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_604630-MLC79678132343_092024-F.webp,50 m²,47 m²,3 m²,2,2,1,1.0,8.0,3.0,,NO,,,,,,,,,,,Sí,,,,,,,,,,,,Sí,Sí,,Sí,,,,,,,,,Sí,Sí,Sí,Sí,,,,Sí,,,,,,,,,,,,,,,Sí,,,,,,
https://www.portalinmobiliario.com/MLC-1551782849,"Cedo Promesa Compraventa Dpto 3 Dormitorio, Estacionamiento",Departamento en Venta,400,,78 m² totales,3 dormitorios,2 baños,"Guillermo Mann 1305, Estadio Nacional, Ñuñoa, RM (Metropolitana)","-33.4710695,-70.6187835","ENTREGA INMEDIATA, LISTO PARA TRAMITAR CRÉDITO HOPOTECARIO

El precio de venta es de 5.074 UF

El precio incluye estacionamiento y bodega

Departamento de 3 dormitorios + 2 baños + terraza, con terminaciones de primer nivel, cocina equipada y completamente nuevo.

El condominio cuenta con conserjería 24/7, sistema de seguridad, piscina, zona de deporte, salón multiuso, zona de juegos, lavandería y más.",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_739472-MLC80647533708_112024-F.webp,78 m²,72 m²,6 m²,3,2,1,1.0,15.0,5.0,Departamento,,0 años,0 CLP,Sí,,Sí,Sí,No,Sí,No,No,Sí,Sí,Sí,No,No,No,Sí,Sí,No,Sí,No,No,No,Sí,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,Sí,Sí,No,No,Sí,No,No,No,No,Sí,No,No,Sí,0.0,0.0,Sí,Sí,0.0,
https://www.portalinmobiliario.com/MLC-2773813104,"Cedo Promesa Compraventa Dpto 3 Dormitorio, Estacionamiento",Departamento en Venta,400,,79 m² totales,3 dormitorios,2 baños,"Guillermo Mann 1305, Estadio Nacional, Ñuñoa, RM (Metropolitana)","-33.4710695,-70.6187835","ENTREGA INMEDIATA, LISTO PARA TRAMITAR CRÉDITO HOPOTECARIOEl precio de venta es de 5.074 UFEl precio incluye estacionamiento y bodegaDepartamento de 3 dormitorios + 2 baños + terraza, con terminaciones de primer nivel, cocina equipada y completamente nuevo.El condominio cuenta con conserjería 24/7, sistema de seguridad, piscina, zona de deporte, salón multiuso, zona de juegos, lavandería y más.",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_621723-MLC80598574313_112024-F.webp,79 m²,72 m²,7 m²,3,2,1,1.0,15.0,5.0,Departamento,,,,Sí,24 horas,Sí,Sí,,Sí,,,Sí,Sí,Sí,,,,Sí,,,Sí,,,Sí,Sí,,,,,,,,,,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,,,Sí,Sí,,,Sí,,,,,Sí,,,Sí,,,Sí,Sí,,
https://www.portalinmobiliario.com/MLC-2764840298,Venta Promesa Depto Nuevo Macul 2d 2b 1e 1bd Ahorra 418uf!,Departamento en Venta,15470000,,59.6 m² totales,2 dormitorios,2 baños,"Los Espinos 3356, Santa Julia de Macul, Macul, RM (Metropolitana)","-33.4766682,-70.5976187","¡Paga menos de un 9% de Pie por acceso a precio en UF de años anteriores!¡10% adicional de Pie pagas $0 por acceso a Bono Pie completo!Vendo promesa de compra/venta de Departamento Nuevo en comuna de Macul, excelente Ubicación y Oportunidad para vivir o inversión.Detalles de Unidad: 2 dormitorios, 2 baños, 1 estacionamiento, 1 bodega, tamaño total 59,60m2, interior 52,89m2, terraza 6,71m2, piso 10, orientación sur. Edificio HOME en calle Los Espinos 3356 a media cuadra de Av. Macul, y a 2 cuadras de futura estación de Línea 8 del Metro de Santiago (Estación en Av. Macul con Rodrigo de Araya).Valor de cesión promesa: $8.490.000 (valor que debes pagar por la cesión)Para hacer efectiva la compra del departamento, debes considerar:a. Conseguir crédito hipotecario por 3.677,00 UF (80% del valor total)b. Pagar monto contra entrega de $6.980.000 restantes para enterar el PieTu Oportunidad es lograr mejor rentabilidad a futuro, ya que el valor venta total del Departamento es de 4.550 UF (incluye el estacionamiento y bodega), ¡te ahorras 418 UF con este contrato con el Bono Pie, y Otros $ millones de pesos por acceder a pago con UF años anteriores en el Pie!No dudes en contactarme. ¡Si necesitas evaluar tu crédito hipotecario también te puedo aconsejar para acceso a mejor tasa del mercado!",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_810753-MLC79786177825_102024-F.webp,"59,6 m²","52,89 m²","6,71 m²",2,2,1,1.0,16.0,10.0,Departamento,SO,0 años,,Sí,24 horas,Sí,Sí,,Sí,Sí,Sí,,Sí,Sí,,Sí,,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,,Sí,,,,,,,Sí,,Sí,Sí,Sí,Sí,,Sí,Sí,,,Sí,Sí,Sí,,Sí,,,,Sí,,,,,Sí,,9.0,,,1.0,
https://www.portalinmobiliario.com/MLC-2781898154,Se Vende Promesa Compraventa,Departamento en Venta,422,Gastos comunes aproximados $ 70.000,57.98 m² totales,2 dormitorios,2 baños,"San Eugenio 510, Ñuñoa, Chile, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)","-33.4567994,-70.6269134","VENDO PROMESA DE COMPRA !!!  excelente oportunidad para invertir , en excelente barrio , a pocos pasos del metro Irarrazabal, excelente conectividad , cerca de colegios , supermercados , centros de salud, mall parques … Departamento de 1 Dormitorio, 1Baño con terraza , completamente nuevo a estrenar Piso 10 Orientación Nor Poniente Vista despejada  El condominio cuenta con piscina, espacio cooWork, quinchos, terraza mirador, área de juego para niños , estacionamiento de visitas , lavandería, salón gourmet  y bicicletero. Valor  total de la propiedad es de 4227uf EXCELENTE OPORTUNIDAD DE INVERSIÓN, ACTUALMENTE LA PROPIEDAD ESTA EVALUADA ENTRE 5000 y 5500 uf",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_840426-MLC76428776648_052024-F.webp,"57,98 m²","49,25 m²","8,27 m²",2,2,1,0.0,,3.0,Departamento,NP,0 años,70.000 CLP,Sí,24 horas,Sí,Sí,,Sí,Sí,,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,Sí,,,Sí,Sí,,Sí,,,,,,,Sí,Sí,Sí,Sí,Sí,Sí,,Sí,Sí,Sí,,Sí,Sí,Sí,,,,,Sí,,,Sí,,,Sí,,,,Sí,,
https://www.portalinmobiliario.com/MLC-2760740166,Se Vende Promesa Depto Nuevo Av. Einstein,Departamento en Venta  |  Publicado hace 32 días,500,,64 m² totales,3 dormitorios,2 baños,,"-33.4065971,-70.6424253",,,https://http2.mlstatic.com/D_NQ_NP_2X_923439-MLC80116442692_112024-F.webp,64 m²,60 m²,4 m²,3,2,1,0.0,6.0,6.0,Departamento,NO,0 años,,Sí,24 horas,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,No,No,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,No,No,Sí,Sí,No,Sí,No,No,No,No,No,Sí,No,No,Sí,3.0,0.0,Sí,Sí,0.0,
https://www.portalinmobiliario.com/MLC-2788388754,"Venta Promesa Compraventa 2d 1b 1est, 1bod",Departamento en Venta,520,Gastos comunes aproximados $ 1,46.5 m² totales,2 dormitorios,1 baño,"San Ignacio De Loyola, 3233, El Llano, San Miguel, RM (Metropolitana)","-33.483572,-70.6549427","EN VENTA 
Promesa de compraventa de departamento ubicado en la comuna de San Miguel!!!
Consta de:
46.5 m2 TOTALES
2 dormitorios
1 baño
Cocina integrada
Termopanel
Conexión a lavadora
Closet amplios
1 estacionamiento
1 bodega
Terraza
Orientación: oriente

El edificio cuenta con:
Piscina
Jardines
Quincho
Zona de juegos de niños
Salón de eventos
Gimnasio
Seguridad las 24 horas
Estacionamientos de visita

Ubicado en barrio residencial, a pasos del Metro EL LLANO, cercano a supermercados, farmacias, áreas verdes, parques, plazas, muy buena conectividad.

Valor departamento: UF3.860
PRÓXIMO A ENTREGA, NUEVO!!!

VENDE REMAX SIGNATURE.",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_981604-MLC80943023671_112024-F.webp,"46,5 m²","39,56 m²",0 m²,2,1,1,0.0,0.0,0.0,Departamento,O,0 años,1 CLP,,,,,,,,No,Sí,,,,,,,Sí,No,,,,No,Sí,,,,,,,,,,,Sí,,Sí,,,,,,,,,,,,,No,,,,,,No,,0.0,0.0,,,,
https://www.portalinmobiliario.com/MLC-2792728652,Venta De Promesa De Departamento En Macul,Departamento en Venta  |  Publicado esta semana,528,Gastos comunes aproximados $ 70.000,99 m² totales,3 dormitorios,2 baños,,"-33.422153,-70.6093458",,,https://http2.mlstatic.com/D_NQ_NP_2X_921121-MLC80783972760_112024-F.webp,99 m²,"92,5 m²","6,5 m²",3,2,1,1.0,,,Departamento,,1 años,,Sí,24 horas,Sí,Sí,No,Sí,No,No,No,Sí,No,No,Sí,No,Sí,No,No,Sí,No,No,No,No,No,Sí,No,No,No,No,No,No,Sí,Sí,Sí,No,Sí,Sí,No,No,No,Sí,Sí,No,Sí,Sí,No,No,No,No,No,No,Sí,Sí,No,Sí,Sí,,,No,Sí,1.0,
https://www.portalinmobiliario.com/MLC-1535010059,"Departamento En Venta, De Ocasión, Puente Alto, $ 24 Millone",Departamento en Venta,24000000,,42 m² totales,2 dormitorios,1 baño,"Pasaje Achelpen, Luis Matte Larraín, Puente Alto, RM (Metropolitana)","-33.5929926,-70.6045909","En Venta y a precio de ocasión departamento en tercer piso en Puente Alto, Villa Padre Alberto Hurtado , con orientación poniente, para Inversionistas. la propiedad se encuentra ubicada en pasaje Achelpen, entre Luis Matte y La Primavera y a dos cuadras de Acceso Sur, a diez minutos de metro línea 4 Protectora, a tres cuadras de Cesfam, a cuatro cuadras de comisaría y supermercado Acuenta.Excelente conectividad con Avenida Gabriela, Avenida Luis Matte Larraín, Autopista Acceso Sur, La Primavera y Avenida Chiloé.Departamento cuenta con 2 dormitorios, 1 baño, living comedor, cocina, pequeña logia, estacionamiento común. Orientación poniente.El precio está muy rebajado con respecto al promedio del sector, ya que, la propiedad se encuentra tomada y se rebajó para que el comprador pueda realizar el trámite de desalojo.PRECIO: $ 24 MILLONES HONORARIOS CORREDORA: 2% - KP327522 - KPD120205 -  - Publicado con KiteProp CRM Sistema Inmobiliario",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_891871-MLC79885844937_102024-F.webp,42 m²,42 m²,,2,1,0,,3.0,,,,30 años,0 CLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
https://www.portalinmobiliario.com/MLC-1554644913,Dpto 2 Dormitorios 1 Baño Estacionamiento Balcon Buen Estado,Departamento en Venta,25000000,,45 m² totales,2 dormitorios,1 baño,"Avenida Colón Sur, San Bernardo, Chile, Estadio Municipal de San Bernardo, San Bernardo, RM (Metropolitana)","-33.5912199,-70.6983852","****NOTA IM PORTANTE: Nuestra Oficina NO COBRA VALOR ALGUNO, POR RESERVA, de este Inmueble-bajo ninguna circunstancia- NI TAMPOCO SE EXIGEN ABONOS algunos, para LAS VISITAS; Tanto para el caso de los ARRIENDOS o LAS VENTAS de INMUEBLES.****_______________________________________________________________________ ¡¡¡OPORTUNIDAD!!! SE VENDE DEPARTAMENTO N° 22 de AVENIDA COLÓN SUR No.0853, Segundo Piso del BLOCK N° 2, de la ""Población Angelmó""- SAN BERNARDO-; Propiedad en buen estado, con 2 dormitorios y closets, 1 baño completo, living/comedor, cocina tradicional, y al centro del departamento y en el muro poniente, hay un mueble -de muro a muro- que se utiliza como ""DESPENSA"", y existe una conexión a lavadora en la cocina, balcón + 1 Estacionamiento común en el patio del Edificio (""bajo llave"")¡¡¡¡ NO SE PAGAN GASTOS COMUNES....!!!!!La propiedad, se encuentra ubicada en una de las Avenidas principales de San Bernardo, como es la AVENIDA CRISTOBAL COLÓN -SUR- y esta ubicada a dos cuadras de la Avenida Padre Hurtado (EX-LOS MORROS), con buena locomoción pública y conexión al metro Estación Hospital el Pino (linea 2).Y vía METROTREN, se puede dirigir al Sur y al Norte desde la Estación San Bernardo, que está cercana a esta Población.En dirección Oriente, por Avenida Padre Hurtado, existen numerosos comercios establecidos, principalmente Mini- markets , Ferreterías y Farmacias.Por Avenida Colon, se instala una Feria semanal. Y por AV. Colón- Sur, y dos cuadras al Poniente, esta ubicada la ""Comisaria de SAN BERNARDO""Este departamento, esta ubicado a pocas cuadras (20 min caminando y 7 minutos en vehículo), de la Estación Terminal METRO ""HOSPITAL EL PINO"" /Linea 2/amarilla).El block B-2, donde esta ubicado este departamento, es un sector muy tranquilo, y muy seguro porque sólo se accede con llaves al piso en el cual esta ubicado el departamento a la venta, y el Block No. 2 cuenta con ESTACIONAMIENTOS comunes, cerrados y protegidos bajo llave y al cual se accede por la calle DUCAUT, casi esquina de Avenida Colón (Acera sur de la avenida Colón)NOTAS IMPORTANTES:1.- El precio de venta es $ 25.000.000 -de contado- y es un PRECIO DE LIQUIDACIÓN, por problemas de salud de la dueña .El valor comercial real es aproximadamente $ 30.000.000.-2.- Este departamento esta exclusivamente a la venta (No se Arrienda).3.- Las visitas se pueden efectuar TODOS LOS DIAS- 24/7- PREVIO AVISO Y COORDINACIÓN -con esta Oficina de Propiedades- VÍA EMAIL Y/O VIA WHATSAPP CON 24 HORAS DE ANTICIPACIÓN.4.- Los títulos de dominio están saneados, ajustados a Derecho y vigentes.5.- LA VENTA ES EXCLUSIVAMENTE DE CONTADO.6.- NO se Aceptan SUBSIDIOS HABITACIONALES, NI CRÉDITOS HIPOTECARIOS.-",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_698018-MLC76687025895_052024-F.webp,45 m²,42 m²,3 m²,2,1,1,0.0,4.0,4.0,Departamento,N,38 años,0 CLP,Sí,,Sí,No,No,Sí,No,No,Sí,Sí,No,No,Sí,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,Sí,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,Sí,No,No,No,,4.0,No,No,2.0,
https://www.portalinmobiliario.com/MLC-2720383180,Venta De Departamento En Puente Alto,Departamento en Venta,25000000,,45 m² totales,2 dormitorios,1 baño,"María Rosa 01655, Bajos de Mena, Puente Alto, RM (Metropolitana)","-33.6322952,-70.6212972","Departamento de 2 dormitorios 1 baño en puente alto, cercano a autopista acceso Sur, cercano a Avenida Santa RosaCon la compra del departamento adquiere el derecho a traslado a nuevo proyecto Doña Marta en Puente Alto. departamento sin prohibiciones del Serviu y sin hipotecas",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_881579-MLC79433157528_092024-F.webp,45 m²,45 m²,0 m²,2,1,1,0.0,3.0,2.0,Departamento,S,20 años,0 CLP,Sí,,Sí,No,No,No,No,No,No,Sí,No,No,Sí,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,Sí,No,No,No,,2.0,Sí,No,1.0,
https://www.portalinmobiliario.com/MLC-2732138746,Venacia Leiva / Av Santa Rosa,Departamento en Venta,25000000,,45 m² totales,2 dormitorios,1 baño,"Venancia Leiva 2311, La Pintana, Chile, La Pintana, RM (Metropolitana)","-33.5583159,-70.6324801","Se vende departamento ubicado en piso 1, orientación nor-poniente cercano a colegios, comercio, con buena conectividad y accesibilidad a traves de locomocion colectiva a la puerta.El departamento esta en espacio abierto cuenta cuenta con living, comedor, cocina integrada, dormitorios, un baño. Visitas a traves de esta corredora",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_613877-MLC75715863411_042024-F.webp,45 m²,45 m²,0 m²,2,1,0,0.0,1.0,11.0,Departamento,NP,15 años,0 CLP,No,,No,No,No,No,No,No,No,Sí,No,No,Sí,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,Sí,No,No,No,,4.0,No,No,1.0,
https://www.portalinmobiliario.com/MLC-2761937086,"Vendo Departamento 2d 1b, Ubicado En El Bosque",Departamento en Venta,25000000,,40 m² totales,2 dormitorios,1 baño,"Avenida Nueva Imperial, 753, Lo Martinez, El Bosque, RM (Metropolitana)","-33.57709,-70.6654582","VENDO DEPARTAMENTO 2D 1B, UBICADO EN EL BOSQUEAcogedora propiedad, ubicado en calle Nueva Imperial 753, piso 3, de la Comuna de San Bernardo (39 M2), Se compone de 2 dormitorios, 1 Baño completo, living comedor, balcón comunitario, Cocina con buena distribución, Buena conectividad a zonas comerciales, colegios e institutos, transporte público. 5 paraderos Transporte a minutos desde la propiedad, a min Estación del Metro El Pino Lo Martínez.En definitiva, su característica la hacen una excelente opción para convertirse en su hogar o una buena opción para invertir.Precio $25.000.000 Tratar con ARRIAGADA PROPIEDADES. CL.9-54548372, Agente inmobiliario Deborah Arriagada.",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_617610-MLC80144478224_112024-F.webp,40 m²,40 m²,0 m²,2,1,0,0.0,3.0,3.0,Departamento,N,0 años,0 CLP,No,24 horas,Sí,No,No,,No,No,No,Sí,No,No,No,No,No,Sí,No,Sí,No,No,No,No,No,No,No,No,No,No,No,No,No,Sí,No,No,No,No,No,No,No,No,No,No,Sí,Sí,No,No,No,No,No,No,No,,No,No,No,4.0,0.0,Sí,No,1.0,
https://www.portalinmobiliario.com/MLC-1554908281,Venta De Departamento En Talagante - Divergente Propiedades,Departamento en Venta,26000000,,40 m² totales,2 dormitorios,1 baño,"Fresia, Centro de Talagante, Talagante, RM (Metropolitana)","-33.6770547,-70.9483161","Departamento en venta. Departamento en arriendo con opción prioritaria de compra. 2 dormitorios, 1 Baño, 40m2 de construcción, se ubica en el tercer piso.Precio de venta $26.000.000.- (no se deducen del precio de venta los meses de arriendo que dure la compra). Acepta Subsidio.El departamento requiere algunas mejoras que serán explicadas en llamado por teléfono.Requisitos:Solo se vende por urgencia económica. Se encuentra locomoción cercana, micro o colectivo.Agente responsable: Alejandro López - KP331280 - KPD120200 -  - Publicado con KiteProp CRM Sistema Inmobiliario",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_902120-MLC81091534551_122024-F.webp,40 m²,0 m²,,2,1,0,,3.0,,,,24 años,0 CLP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
https://www.portalinmobiliario.com/MLC-1552339021,"Cesión De Promesa En Eco Egaña Ñuñoa, Piso 27 Con Plusvalía",Departamento en Venta,690,,1 dormitorio,1 baño,,"Plaza Egaña, Ñuñoa, RM (Metropolitana)","-33.454462,-70.572488","¡Cesión de Promesa en Proyecto Premium - Ahorra y Vive en Ñuñoa!  Descripción Principal: Esta es tu oportunidad de ser parte del exclusivo Proyecto Eco Egaña a un precio menor que las unidades actualmente disponibles. Con un diseño de vanguardia, amenidades de lujo y una ubicación privilegiada, Eco Egaña está por sobre la media del mercado debido a sus características únicas. Asegura tu lugar pagando menos que el precio actualizado de las nuevas unidades, que se están vendiendo por sobre las 4.900 UF.  Detalles Financieros:  Precio Total de Compraventa: 4.550 UF.  Monto de Cesión de Promesa: 690 UF (pago al actual titular de la promesa para asegurar la propiedad).  Monto Restante al Término de la Obra: 3.860 UF (solo pagas al recibir la propiedad).  Estacionamiento y Bodega Incluidos: Las nuevas unidades no incluyen estacionamiento ni bodega, mientras que esta oferta sí lo hace.  Características Premium del Proyecto Eco Egaña:  Diseño Exclusivo y Acabados de Alta Calidad:  Interiorismo a cargo de Enrique Concha & Co., garantizando un estilo moderno y elegante.  Cocinas diseñadas por el reconocido Orlando Gatica Studio, con mesones de cuarzo reconstituido, encimera vitrocerámica, y campana retráctil.  Ventanas con termopanel para mayor eficiencia y aislamiento, y piso de porcelanato en todo el departamento.  Enchufes USB en dormitorios y baños con shower door.  Amenities y Espacios Comunes:  Salón Gourmet para disfrutar con amigos y familia.  Cowork y espacios de trabajo compartido, perfectos para profesionales jóvenes.  Piscina y lounge panorámico, con vistas increíbles a la ciudad.  Áreas verdes que permiten un contacto directo con la naturaleza, sin salir de casa.  Beneficios del Proyecto:  Alta Plusvalía en Ñuñoa: La comuna de Ñuñoa es una de las zonas más cotizadas y de mayor crecimiento de Santiago, asegurando una inversión sólida y con gran retorno.  Ubicación Estratégica: Conectividad inmediata a Líneas 3 y 4 del Metro, acceso a áreas de entretenimiento, cultura y servicios. Eco Egaña te ofrece la comodidad de estar cerca de todo.   ""¡Ahorra Más Comprando Esta Unidad!""   ""Las nuevas unidades de Eco Egaña se están vendiendo por sobre las 4.900 UF, mientras que esta oferta te permite asegurar un departamento por 4.550 UF, ¡con estacionamiento y bodega incluidos!""  ""¡No dejes pasar esta oportunidad única! Contactame para asegurar una propiedad exclusiva a un precio inmejorable. Vive o invierte en un proyecto que combina modernidad, plusvalía y un estilo de vida de lujo.""",identidad verificada,https://http2.mlstatic.com/D_NQ_NP_2X_697838-MLC80940073815_112024-F.webp,0 m²,44 m²,,1,1,1,1.0,1.0,0.0,,,-1 años,0 CLP,,,,,,,,,,,,,,,,Sí,Sí,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,0.0,,,,,
